Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
La Cage aux Folles,1978,R,30 Mar 1979,110 min,Comedy,Édouard Molinaro,Nominated for 3 Oscars. Another 5 wins & 2 nominations.,7.3,N/A,La Cage aux Folles (1978)
Little Caesar,1931,NOT RATED,25 Jan 1931,79 min,"Action, Crime, Drama",Mervyn LeRoy,Nominated for 1 Oscar. Another 1 win.,7.3,N/A,Little Caesar (1931)
Black Christmas,1974,R,20 Dec 1974,98 min,"Horror, Mystery, Thriller",Bob Clark,2 wins & 2 nominations.,7.2,N/A,Black Christmas (1974)
The Blob,1958,NOT RATED,12 Sep 1958,86 min,"Horror, Sci-Fi","Irvin S. Yeaworth Jr., Russell S. Doughten Jr.",1 nomination.,6.4,N/A,The Blob (1958)
Blood Feast,1963,UNRATED,06 Jul 1963,67 min,Horror,Herschell Gordon Lewis,1 nomination.,5.1,N/A,Blood Feast (1963)
The Blue Angel,1930,NOT RATED,03 Jan 1931,106 min,"Drama, Music",Josef von Sternberg,N/A,7.8,N/A,The Blue Angel (1930)
The Blue Bird,1918,N/A,31 Mar 1918,75 min,Fantasy,Maurice Tourneur,1 win.,6.9,N/A,The Blue Bird (1918)
Teacher's Pet,1930,N/A,11 Oct 1930,20 min,"Comedy, Family, Short",Robert F. McGowan,N/A,8.2,N/A,Teacher's Pet (1930)
Born Yesterday,1950,APPROVED,01 Feb 1951,103 min,"Comedy, Drama, Romance",George Cukor,Won 1 Oscar. Another 3 wins & 10 nominations.,7.6,N/A,Born Yesterday (1950)
Boudu Saved from Drowning,1932,NOT RATED,23 Feb 1967,85 min,Comedy,Jean Renoir,N/A,7.5,N/A,Boudu Saved from Drowning (1932)
The Window,1949,APPROVED,21 Jul 1949,73 min,"Drama, Film-Noir, Thriller",Ted Tetzlaff,Nominated for 1 Oscar. Another 1 win & 2 nominations.,7.4,N/A,The Window (1949)
Breathless,1960,NOT RATED,07 Feb 1961,90 min,"Crime, Drama",Jean-Luc Godard,Nominated for 1 BAFTA Film Award. Another 4 wins & 2 nominations.,7.9,"$363,030",Breathless (1960)
Brewster's Millions,1945,APPROVED,07 Apr 1945,79 min,Comedy,Allan Dwan,N/A,6.7,N/A,Brewster's Millions (1945)
Bride Wars,2009,PG,09 Jan 2009,89 min,"Comedy, Romance",Gary Winick,1 win & 8 nominations.,5.5,"$58,637,818",Bride Wars (2009)
Brian's Song,1971,G,30 Nov 1971,73 min,"Biography, Drama, Sport",Buzz Kulik,Nominated for 1 Golden Globe. Another 10 wins & 7 nominations.,7.6,N/A,Brian's Song (1971)
Brian's Song,1971,G,30 Nov 1971,73 min,"Biography, Drama, Sport",Buzz Kulik,Nominated for 1 Golden Globe. Another 10 wins & 7 nominations.,7.6,N/A,Brian's Song (1971)
A Bucket of Blood,1959,APPROVED,21 Oct 1959,66 min,"Comedy, Crime, Horror",Roger Corman,N/A,6.8,N/A,A Bucket of Blood (1959)
The Buccaneer,1938,APPROVED,04 Feb 1938,126 min,"Adventure, History",Cecil B. DeMille,N/A,6.7,N/A,The Buccaneer (1938)
The Burmese Harp,1956,NOT RATED,28 Apr 1967,116 min,"Drama, Music, War",Kon Ichikawa,Nominated for 1 Oscar. Another 4 wins & 2 nominations.,8.1,N/A,The Burmese Harp (1956)
Cabin Fever,2002,R,12 Sep 2003,93 min,"Comedy, Horror",Eli Roth,2 wins & 12 nominations.,5.6,"$21,113,424",Cabin Fever (2002)
The Cabinet of Dr. Caligari,1920,UNRATED,19 Mar 1921,67 min,"Fantasy, Horror, Mystery",Robert Wiene,1 nomination.,8.1,N/A,The Cabinet of Dr. Caligari (1920)
Cape Fear,1962,APPROVED,12 Apr 1962,106 min,"Drama, Thriller",J. Lee Thompson,N/A,7.8,N/A,Cape Fear (1962)
The Captain's Table,1959,N/A,20 Mar 1959,90 min,Comedy,Jack Lee,N/A,7.0,N/A,The Captain's Table (1959)
Carnival of Souls,1962,PG,02 Nov 1962,78 min,"Horror, Mystery",Herk Harvey,N/A,7.2,N/A,Carnival of Souls (1962)
Carrie,1976,R,16 Nov 1976,98 min,Horror,Brian De Palma,Nominated for 2 Oscars. Another 3 wins & 5 nominations.,7.4,N/A,Carrie (1976)
The Cat and the Canary,1927,UNRATED,09 Sep 1927,108 min,"Comedy, Horror, Mystery",Paul Leni,N/A,7.2,N/A,The Cat and the Canary (1927)
Cat People,1942,NOT RATED,25 Dec 1942,73 min,"Fantasy, Horror, Thriller",Jacques Tourneur,1 win & 2 nominations.,7.4,N/A,Cat People (1942)
Cat People,1942,NOT RATED,25 Dec 1942,73 min,"Fantasy, Horror, Thriller",Jacques Tourneur,1 win & 2 nominations.,7.4,N/A,Cat People (1942)
Liliom,1930,N/A,05 Oct 1930,94 min,Drama,Frank Borzage,N/A,6.7,N/A,Liliom (1930)
The Champ,1931,PASSED,21 Nov 1931,86 min,"Drama, Sport",King Vidor,Won 2 Oscars. Another 3 nominations.,7.3,N/A,The Champ (1931)
Cheaper by the Dozen,1950,APPROVED,01 Apr 1950,86 min,"Comedy, Drama, Family",Walter Lang,N/A,7.1,N/A,Cheaper by the Dozen (1950)
Love 'Em and Weep,1927,N/A,12 Jun 1927,20 min,"Comedy, Short","Fred Guiol, F. Richard Jones",N/A,6.6,N/A,Love 'Em and Weep (1927)
These Three,1936,PASSED,18 Mar 1936,93 min,"Drama, Romance",William Wyler,Nominated for 1 Oscar. Another 1 nomination.,7.6,N/A,These Three (1936)
Scrooge,1935,APPROVED,30 Nov 1935,78 min,"Drama, Family, Fantasy",Henry Edwards,1 win & 1 nomination.,6.6,N/A,Scrooge (1935)
Cinderella,1950,APPROVED,04 Mar 1950,74 min,"Animation, Family, Fantasy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Nominated for 3 Oscars. Another 4 wins & 4 nominations.,7.3,N/A,Cinderella (1950)
Cinderella,1950,APPROVED,04 Mar 1950,74 min,"Animation, Family, Fantasy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Nominated for 3 Oscars. Another 4 wins & 4 nominations.,7.3,N/A,Cinderella (1950)
Clash of the Titans,1981,PG,12 Jun 1981,118 min,"Action, Adventure, Family",Desmond Davis,2 wins & 6 nominations.,6.9,N/A,Clash of the Titans (1981)
Classmates,2006,N/A,01 Aug 2006,175 min,"Drama, Mystery, Romance",Lal Jose,N/A,8.1,N/A,Classmates (2006)
High Sierra,1941,PASSED,25 Jan 1941,100 min,"Action, Adventure, Crime",Raoul Walsh,3 wins.,7.6,N/A,High Sierra (1941)
The Computer Wore Tennis Shoes,1969,G,31 Dec 1969,91 min,"Comedy, Family, Sci-Fi",Robert Butler,N/A,6.0,N/A,The Computer Wore Tennis Shoes (1969)
Mazurka,1935,N/A,14 Nov 1935,91 min,Drama,Willi Forst,N/A,7.5,N/A,Mazurka (1935)
The Grocery Clerk,1919,N/A,01 Dec 1919,27 min,"Short, Comedy",Larry Semon,N/A,5.7,N/A,The Grocery Clerk (1919)
Cousin cousine,1975,R,25 Jul 1976,95 min,"Comedy, Romance",Jean-Charles Tacchella,Nominated for 3 Oscars. Another 5 wins & 6 nominations.,6.8,N/A,Cousin cousine (1975)
Big Deal on Madonna Street,1958,NOT RATED,02 Oct 1958,106 min,"Comedy, Crime",Mario Monicelli,Nominated for 1 Oscar. Another 4 wins & 4 nominations.,8.0,N/A,Big Deal on Madonna Street (1958)
The Crazies,1973,R,16 Mar 1973,103 min,"Action, Horror, Sci-Fi",George A. Romero,N/A,6.1,N/A,The Crazies (1973)
The Mayor of Hell,1933,TV-PG,24 Jun 1933,90 min,"Crime, Drama, Romance","Archie Mayo, Michael Curtiz",N/A,7.0,N/A,The Mayor of Hell (1933)
Darah dan Doa,1950,N/A,N/A,150 min,Drama,Usmar Ismail,N/A,6.6,N/A,Darah dan Doa (1950)
Dante's Inferno,1924,PASSED,07 Sep 1924,60 min,"Drama, Horror, Romance",Henry Otto,N/A,6.1,N/A,Dante's Inferno (1924)
The Dark Mirror,1946,NOT RATED,N/A,85 min,"Crime, Drama, Film-Noir",Robert Siodmak,N/A,7.1,N/A,The Dark Mirror (1946)
Dark Victory,1939,APPROVED,22 Apr 1939,104 min,"Drama, Romance",Edmund Goulding,Nominated for 3 Oscars. Another 2 wins & 1 nomination.,7.6,N/A,Dark Victory (1939)
Dark Water,2002,PG-13,19 Jan 2002,101 min,"Drama, Horror, Mystery",Hideo Nakata,6 wins & 1 nomination.,6.7,N/A,Dark Water (2002)
Dawn of the Dead,1978,UNRATED,24 May 1979,127 min,"Action, Adventure, Horror",George A. Romero,2 wins & 2 nominations.,8.0,N/A,Dawn of the Dead (1978)
The Dawn Patrol,1930,NOT RATED,20 Aug 1930,108 min,"War, Drama, Action",Howard Hawks,N/A,7.9,N/A,The Dawn Patrol (1930)
Day of the Dead,1985,NOT RATED,19 Jul 1985,96 min,"Horror, Thriller",George A. Romero,2 wins.,7.2,N/A,Day of the Dead (1985)
The Day the Earth Stood Still,1951,APPROVED,25 Dec 1951,92 min,"Drama, Sci-Fi",Robert Wise,Won 1 Golden Globe. Another 2 wins & 1 nomination.,7.8,N/A,The Day the Earth Stood Still (1951)
My Name Is Julia Ross,1945,APPROVED,27 Nov 1945,65 min,"Crime, Drama, Film-Noir",Joseph H. Lewis,N/A,7.2,N/A,My Name Is Julia Ross (1945)
Death Wish,1974,R,24 Jul 1974,93 min,"Action, Crime, Drama",Michael Winner,1 win & 1 nomination.,7.0,N/A,Death Wish (1974)
The Debt,2007,NOT RATED,29 Nov 2007,100 min,"Drama, Thriller",Assaf Bernstein,6 nominations.,6.9,N/A,The Debt (2007)
The Defiant Ones,1958,APPROVED,27 Sep 1958,96 min,"Crime, Drama",Stanley Kramer,Won 2 Oscars. Another 12 wins & 21 nominations.,7.7,N/A,The Defiant Ones (1958)
Infernal Affairs,2002,R,12 Dec 2002,101 min,"Crime, Drama, Mystery","Wai-Keung Lau, Alan Mak",23 wins & 24 nominations.,8.1,N/A,Infernal Affairs (2002)
The Desperate Hours,1955,APPROVED,13 Feb 1956,112 min,"Crime, Drama, Film-Noir",William Wyler,2 wins & 1 nomination.,7.6,N/A,The Desperate Hours (1955)
Destry Rides Again,1932,PASSED,17 Apr 1932,61 min,"Romance, Western",Benjamin Stoloff,N/A,7.1,N/A,Destry Rides Again (1932)
Destry Rides Again,1932,PASSED,17 Apr 1932,61 min,"Romance, Western",Benjamin Stoloff,N/A,7.1,N/A,Destry Rides Again (1932)
The Barker,1928,N/A,09 Dec 1928,80 min,"Drama, Romance",George Fitzmaurice,N/A,7.4,N/A,The Barker (1928)
The House of Rothschild,1934,PASSED,07 Apr 1934,88 min,"Biography, Drama, History","Alfred L. Werker, Sidney Lanfield",N/A,6.8,N/A,The House of Rothschild (1934)
Bedtime Story,1964,N/A,21 Aug 1964,99 min,Comedy,Ralph Levy,N/A,6.8,N/A,Bedtime Story (1964)
Dr. Jekyll and Mr. Hyde,1931,PASSED,03 Jan 1932,98 min,"Horror, Sci-Fi",Rouben Mamoulian,Won 1 Oscar. Another 2 wins & 2 nominations.,7.7,N/A,Dr. Jekyll and Mr. Hyde (1931)
Dr. Mabuse: The Gambler,1922,NOT RATED,30 Sep 1922,242 min,"Crime, Mystery, Thriller",Fritz Lang,N/A,7.9,N/A,Dr. Mabuse: The Gambler (1922)
Don,1978,NOT RATED,12 May 1978,166 min,"Action, Crime, Thriller",Chandra Barot,3 wins.,7.8,N/A,Don (1978)
The Picture of Dorian Gray,1945,NOT RATED,03 Mar 1945,110 min,"Drama, Fantasy, Horror",Albert Lewin,Won 1 Oscar. Another 2 wins & 3 nominations.,7.6,N/A,The Picture of Dorian Gray (1945)
Here Comes Mr. Jordan,1941,NOT RATED,21 Aug 1941,94 min,"Fantasy, Comedy, Romance",Alexander Hall,Won 2 Oscars. Another 3 wins & 6 nominations.,7.7,N/A,Here Comes Mr. Jordan (1941)
Dumbo,1941,APPROVED,31 Oct 1941,64 min,"Animation, Drama, Family","Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte",Won 1 Oscar. Another 2 wins & 1 nomination.,7.3,N/A,Dumbo (1941)
Groundhog Day,1993,PG,12 Feb 1993,101 min,"Comedy, Fantasy, Romance",Harold Ramis,Won 1 BAFTA Film Award. Another 6 wins & 15 nominations.,8.0,N/A,Groundhog Day (1993)
Chinthamani Kolacase,2006,N/A,14 Apr 2006,N/A,"Action, Crime, Mystery",Shaji Kailas,N/A,6.5,N/A,Chinthamani Kolacase (2006)
Endless Love,1981,R,17 Jul 1981,116 min,"Drama, Romance",Franco Zeffirelli,Nominated for 1 Oscar. Another 2 wins & 15 nominations.,4.7,N/A,Endless Love (1981)
The Evil Dead,1981,NC-17,15 Apr 1983,85 min,Horror,Sam Raimi,3 wins & 1 nomination.,7.5,N/A,The Evil Dead (1981)
The Eye,2002,R,09 May 2002,99 min,"Drama, Horror, Thriller","Danny Pang, Oxide Chun Pang",8 wins & 7 nominations.,6.7,"$339,607",The Eye (2002)
A Trip to the Moon,1902,TV-G,04 Oct 1902,13 min,"Short, Adventure, Fantasy",Georges Méliès,1 win.,8.2,N/A,A Trip to the Moon (1902)
The Ten Commandments,1923,PASSED,23 Nov 1923,136 min,"Biography, Drama, Fantasy",Cecil B. DeMille,N/A,7.0,N/A,The Ten Commandments (1923)
Fame,1980,R,16 May 1980,134 min,"Drama, Music, Musical",Alan Parker,Won 2 Oscars. Another 4 wins & 17 nominations.,6.6,N/A,Fame (1980)
Diversion,1980,N/A,01 Oct 1980,50 min,Drama,James Dearden,1 nomination.,6.3,N/A,Diversion (1980)
Father of the Bride,1950,NOT RATED,16 Jun 1950,92 min,"Comedy, Romance",Vincente Minnelli,Nominated for 3 Oscars. Another 1 nomination.,7.2,N/A,Father of the Bride (1950)
Father of the Bride,1950,NOT RATED,16 Jun 1950,92 min,"Comedy, Romance",Vincente Minnelli,Nominated for 3 Oscars. Another 1 nomination.,7.2,N/A,Father of the Bride (1950)
FC Venus,2005,N/A,30 Dec 2005,107 min,"Comedy, Romance, Sport",Joona Tena,1 win & 2 nominations.,5.6,N/A,FC Venus (2005)
Kiss of Death,1947,APPROVED,01 Sep 1947,99 min,"Crime, Drama, Film-Noir",Henry Hathaway,Nominated for 2 Oscars. Another 2 wins.,7.5,N/A,Kiss of Death (1947)
Yojimbo,1961,NOT RATED,13 Sep 1961,110 min,"Action, Drama, Thriller",Akira Kurosawa,Nominated for 1 Oscar. Another 4 wins & 1 nomination.,8.3,N/A,Yojimbo (1961)
Five Came Back,1939,PASSED,23 Jun 1939,75 min,"Adventure, Drama, Thriller",John Farrow,N/A,7.1,N/A,Five Came Back (1939)
Flatliners,1990,R,10 Aug 1990,115 min,"Drama, Horror, Sci-Fi",Joel Schumacher,Nominated for 1 Oscar. Another 2 nominations.,6.6,N/A,Flatliners (1990)
The Flight of the Phoenix,1965,APPROVED,15 Dec 1965,142 min,"Adventure, Drama",Robert Aldrich,Nominated for 2 Oscars. Another 4 nominations.,7.6,N/A,The Flight of the Phoenix (1965)
Flipper,1963,G,14 Aug 1963,87 min,"Adventure, Family, Drama",James B. Clark,1 win.,6.1,N/A,Flipper (1963)
A Story of Floating Weeds,1934,NOT RATED,01 Jan 1994,86 min,Drama,Yasujirô Ozu,1 win.,7.9,N/A,A Story of Floating Weeds (1934)
The Absent Minded Professor,1961,APPROVED,16 Mar 1961,92 min,"Comedy, Family, Sci-Fi",Robert Stevenson,Nominated for 3 Oscars. Another 1 win & 5 nominations.,6.8,N/A,The Absent Minded Professor (1961)
The Fly,1958,APPROVED,16 Jul 1958,94 min,"Drama, Horror, Sci-Fi",Kurt Neumann,1 nomination.,7.1,N/A,The Fly (1958)
The Fog,1980,R,08 Feb 1980,89 min,"Horror, Thriller",John Carpenter,1 win & 2 nominations.,6.8,N/A,The Fog (1980)
Footloose,1984,PG,17 Feb 1984,107 min,"Drama, Music, Romance",Herbert Ross,Nominated for 2 Oscars. Another 1 win & 4 nominations.,6.5,N/A,Footloose (1984)
The Golden Chance,1915,N/A,30 Dec 1915,74 min,Drama,Cecil B. DeMille,N/A,6.7,N/A,The Golden Chance (1915)
Four Sons,1928,PASSED,13 Feb 1928,100 min,"Drama, War",John Ford,1 win.,7.1,N/A,Four Sons (1928)
Freaky Friday,1976,G,21 Jan 1977,95 min,"Comedy, Family, Fantasy",Gary Nelson,N/A,6.3,N/A,Freaky Friday (1976)
Tap Roots,1948,N/A,25 Aug 1948,109 min,"Drama, War, Western",George Marshall,N/A,6.8,N/A,Tap Roots (1948)
Friday the 13th,1980,R,09 May 1980,95 min,"Horror, Mystery, Thriller",Sean S. Cunningham,5 nominations.,6.5,N/A,Friday the 13th (1980)
Fright Night,1985,R,02 Aug 1985,106 min,"Horror, Thriller",Tom Holland,5 wins & 4 nominations.,7.1,N/A,Fright Night (1985)
The Front Page,1931,TV-PG,04 Apr 1931,101 min,Comedy,Lewis Milestone,Nominated for 3 Oscars. Another 2 wins.,6.9,N/A,The Front Page (1931)
Fun with Dick and Jane,1977,PG,N/A,95 min,"Comedy, Crime",Ted Kotcheff,N/A,6.5,N/A,Fun with Dick and Jane (1977)
Funny Games,1997,UNRATED,11 Mar 1998,108 min,"Crime, Drama, Thriller",Michael Haneke,4 wins & 6 nominations.,7.6,N/A,Funny Games (1997)
Waterloo Bridge,1931,N/A,01 Nov 1931,81 min,"Drama, Romance",James Whale,N/A,7.6,N/A,Waterloo Bridge (1931)
Gambit,1966,APPROVED,07 Jan 1967,109 min,"Comedy, Crime, Thriller",Ronald Neame,Nominated for 3 Oscars. Another 4 nominations.,7.1,N/A,Gambit (1966)
The Gambler,1974,R,17 Feb 1975,111 min,"Crime, Drama",Karel Reisz,N/A,7.3,N/A,The Gambler (1974)
Gaslight,1940,NOT RATED,10 Nov 1952,84 min,Thriller,Thorold Dickinson,N/A,7.4,N/A,Gaslight (1940)
Get Carter,1971,R,18 Mar 1971,112 min,"Crime, Thriller",Mike Hodges,N/A,7.5,N/A,Get Carter (1971)
Catherine the Last,1936,N/A,30 Aug 1936,N/A,Comedy,Henry Koster,N/A,7.5,N/A,Catherine the Last (1936)
Kaakha..Kaakha: The Police,2003,N/A,01 Aug 2003,153 min,"Action, Crime, Drama",Gautham Menon,6 wins & 4 nominations.,8.0,N/A,Kaakha..Kaakha: The Police (2003)
Ghostbusters,1984,PG,08 Jun 1984,105 min,"Action, Adventure, Comedy",Ivan Reitman,Nominated for 2 Oscars. Another 6 wins & 6 nominations.,7.8,N/A,Ghostbusters (1984)
Don't Look Up,1996,UNRATED,02 Mar 1996,74 min,"Fantasy, Horror",Hideo Nakata,N/A,6.2,N/A,Don't Look Up (1996)
Gloria,1980,PG,01 Oct 1980,123 min,"Crime, Drama, Thriller",John Cassavetes,Nominated for 1 Oscar. Another 4 wins & 2 nominations.,7.1,N/A,Gloria (1980)
Going in Style,1979,PG,25 Dec 1979,97 min,"Comedy, Crime, Drama",Martin Brest,1 win & 1 nomination.,7.2,N/A,Going in Style (1979)
Gone in 60 Seconds,1974,PG,28 Jul 1974,105 min,"Action, Crime, Drama",H.B. Halicki,N/A,6.5,N/A,Gone in 60 Seconds (1974)
The Goodbye Girl,1977,PG,30 Nov 1977,111 min,"Comedy, Drama, Romance",Herbert Ross,Won 1 Oscar. Another 9 wins & 9 nominations.,7.4,N/A,The Goodbye Girl (1977)
The Good Companions,1933,N/A,05 Nov 1935,95 min,"Comedy, Musical, Romance",Victor Saville,N/A,7.1,N/A,The Good Companions (1933)
"I Was Born, But...",1932,NOT RATED,03 Jun 1932,100 min,"Comedy, Drama",Yasujirô Ozu,1 win.,8.1,N/A,"I Was Born, But... (1932)"
Bob le Flambeur,1956,PG,N/A,98 min,"Crime, Drama, Thriller",Jean-Pierre Melville,N/A,7.8,N/A,Bob le Flambeur (1956)
Flaming Guns,1932,N/A,22 Dec 1932,57 min,Western,Arthur Rosson,N/A,6.6,N/A,Flaming Guns (1932)
The Great Train Robbery,1903,TV-G,01 Dec 1903,11 min,"Short, Action, Western",Edwin S. Porter,1 win.,7.3,N/A,The Great Train Robbery (1903)
Ju-On: The Grudge 2,2003,R,05 Sep 2003,92 min,"Drama, Horror",Takashi Shimizu,1 nomination.,6.4,N/A,Ju-On: The Grudge 2 (2003)
Guess Who's Coming to Dinner,1967,UNRATED,12 Dec 1967,108 min,"Comedy, Drama",Stanley Kramer,Won 2 Oscars. Another 7 wins & 22 nominations.,7.8,N/A,Guess Who's Coming to Dinner (1967)
Halloween,1978,R,27 Oct 1978,91 min,"Horror, Thriller",John Carpenter,5 wins & 2 nominations.,7.8,N/A,Halloween (1978)
The Beast with Five Fingers,1946,APPROVED,08 Feb 1947,88 min,"Horror, Mystery",Robert Florey,N/A,6.6,N/A,The Beast with Five Fingers (1946)
The Beast with Five Fingers,1946,APPROVED,08 Feb 1947,88 min,"Horror, Mystery",Robert Florey,N/A,6.6,N/A,The Beast with Five Fingers (1946)
Harakiri,1962,NOT RATED,04 Aug 1964,133 min,"Action, Drama, History",Masaki Kobayashi,8 wins & 2 nominations.,8.7,N/A,Harakiri (1962)
The Hasty Heart,1949,N/A,02 Dec 1949,102 min,"Drama, War",Vincent Sherman,Nominated for 1 Oscar. Another 4 wins & 2 nominations.,7.4,N/A,The Hasty Heart (1949)
The Phantom City,1928,N/A,23 Dec 1928,N/A,Western,Albert S. Rogell,N/A,N/A,N/A,The Phantom City (1928)
The Haunting,1963,APPROVED,25 Aug 1963,112 min,Horror,Robert Wise,Nominated for 1 Golden Globe. Another 1 nomination.,7.6,N/A,The Haunting (1963)
The Heartbreak Kid,1972,PG,01 Feb 1973,106 min,"Comedy, Drama, Romance",Elaine May,Nominated for 2 Oscars. Another 3 wins & 6 nominations.,6.9,N/A,The Heartbreak Kid (1972)
L.A. Takedown,1989,N/A,27 Aug 1989,97 min,"Action, Crime, Drama",Michael Mann,N/A,6.1,N/A,L.A. Takedown (1989)
High Noon,1952,PG,30 Jul 1952,85 min,"Action, Drama, Thriller",Fred Zinnemann,Won 4 Oscars. Another 13 wins & 10 nominations.,8.0,N/A,High Noon (1952)
The Philadelphia Story,1940,NOT RATED,17 Jan 1941,112 min,"Comedy, Romance",George Cukor,Won 2 Oscars. Another 3 wins & 5 nominations.,8.0,N/A,The Philadelphia Story (1940)
The Hills Have Eyes,1977,R,22 Jul 1977,89 min,"Horror, Thriller",Wes Craven,1 win & 1 nomination.,6.4,N/A,The Hills Have Eyes (1977)
The Hitcher,1986,R,21 Feb 1986,97 min,Thriller,Robert Harmon,3 wins.,7.3,N/A,The Hitcher (1986)
Holiday,1930,N/A,03 Jul 1930,91 min,"Comedy, Drama",Edward H. Griffith,Nominated for 2 Oscars. Another 1 win.,7.0,N/A,Holiday (1930)
The Incredible Journey,1963,G,20 Nov 1963,80 min,"Adventure, Drama, Family",Fletcher Markle,N/A,7.1,N/A,The Incredible Journey (1963)
Hoodman Blind,1913,N/A,22 Dec 1913,N/A,Drama,James Gordon,N/A,N/A,N/A,Hoodman Blind (1913)
House on Haunted Hill,1959,UNRATED,17 Feb 1959,75 min,"Horror, Mystery","William Castle, Rosemary Horvath",N/A,6.9,N/A,House on Haunted Hill (1959)
Mystery of the Wax Museum,1933,UNRATED,18 Feb 1933,77 min,"Horror, Mystery, Thriller",Michael Curtiz,N/A,6.9,N/A,Mystery of the Wax Museum (1933)
How to Make a Monster,1958,UNRATED,01 Jul 1958,73 min,"Horror, Sci-Fi",Herbert L. Strock,N/A,5.3,N/A,How to Make a Monster (1958)
The Adventures of Huckleberry Finn,1939,PASSED,10 Feb 1939,91 min,"Adventure, Drama, Family",Richard Thorpe,N/A,6.9,N/A,The Adventures of Huckleberry Finn (1939)
The Hurricane,1937,PASSED,13 Feb 1938,110 min,"Action, Drama, Romance","John Ford, Stuart Heisler",Won 1 Oscar. Another 2 nominations.,7.3,N/A,The Hurricane (1937)
The Last Man on Earth,1964,UNRATED,08 Mar 1964,86 min,"Horror, Sci-Fi","Ubaldo Ragona, Sidney Salkow",1 nomination.,6.9,N/A,The Last Man on Earth (1964)
I Married a Monster from Outer Space,1958,NOT RATED,01 Oct 1958,78 min,"Horror, Sci-Fi",Gene Fowler Jr.,N/A,6.4,N/A,I Married a Monster from Outer Space (1958)
I Saw What You Did,1965,N/A,21 Jul 1965,82 min,"Horror, Thriller",William Castle,N/A,6.3,N/A,I Saw What You Did (1965)
I Spit on Your Grave,1978,R,22 Nov 1978,101 min,"Horror, Thriller",Meir Zarchi,1 win.,5.7,N/A,I Spit on Your Grave (1978)
I Want to Live!,1958,APPROVED,03 Dec 1958,120 min,"Biography, Crime, Drama",Robert Wise,Won 1 Oscar. Another 5 wins & 16 nominations.,7.5,N/A,I Want to Live! (1958)
Ice Castles,1978,PG,31 Dec 1978,108 min,"Drama, Romance, Sport",Donald Wrye,Nominated for 1 Oscar. Another 1 win & 4 nominations.,6.5,N/A,Ice Castles (1978)
The Shop Around the Corner,1940,PASSED,12 Jan 1940,99 min,"Comedy, Drama, Romance",Ernst Lubitsch,2 wins.,8.1,N/A,The Shop Around the Corner (1940)
The Initiation of Sarah,1978,NOT RATED,06 Feb 1978,96 min,"Horror, Thriller",Robert Day,N/A,6.0,N/A,The Initiation of Sarah (1978)
The In-Laws,1979,PG,12 Sep 1979,103 min,"Adventure, Comedy, Crime",Arthur Hiller,N/A,7.4,N/A,The In-Laws (1979)
Insomnia,1997,NOT RATED,29 May 1998,96 min,"Crime, Horror, Mystery",Erik Skjoldbjærg,2 nominations.,7.3,N/A,Insomnia (1997)
Intermezzo,1936,APPROVED,24 Dec 1937,86 min,"Drama, Romance",Gustaf Molander,N/A,6.8,N/A,Intermezzo (1936)
Interview,2003,NOT RATED,28 May 2003,90 min,Drama,Theo van Gogh,1 nomination.,7.0,N/A,Interview (2003)
Invaders from Mars,1953,APPROVED,22 Apr 1953,78 min,Sci-Fi,William Cameron Menzies,1 nomination.,6.5,N/A,Invaders from Mars (1953)
Invasion of the Body Snatchers,1956,NOT RATED,05 Feb 1956,80 min,"Drama, Horror, Sci-Fi",Don Siegel,2 wins.,7.8,N/A,Invasion of the Body Snatchers (1956)
Irma la Douce,1963,UNRATED,05 Jun 1963,147 min,"Comedy, Romance",Billy Wilder,Won 1 Oscar. Another 5 wins & 7 nominations.,7.4,N/A,Irma la Douce (1963)
Rashomon,1950,NOT RATED,26 Dec 1951,88 min,"Crime, Drama, Mystery",Akira Kurosawa,Nominated for 1 Oscar. Another 9 wins & 4 nominations.,8.3,N/A,Rashomon (1950)
The Italian Job,1969,G,03 Sep 1969,99 min,"Action, Comedy, Crime",Peter Collinson,N/A,7.4,N/A,The Italian Job (1969)
The Golem,1920,UNRATED,19 Jun 1921,91 min,"Fantasy, Horror","Carl Boese, Paul Wegener",1 nomination.,7.2,N/A,The Golem (1920)
It's Alive,1974,PG,01 Oct 1974,91 min,Horror,Larry Cohen,1 win.,5.8,N/A,It's Alive (1974)
The Last Man on Earth,1924,N/A,02 Nov 1924,70 min,"Comedy, Fantasy, Sci-Fi",John G. Blystone,N/A,6.0,N/A,The Last Man on Earth (1924)
J'accuse!,1919,N/A,25 Apr 1919,166 min,"Drama, Horror, War",Abel Gance,N/A,7.3,N/A,J'accuse! (1919)
The Day of the Jackal,1973,PG,30 Jul 1973,143 min,"Crime, Drama, Thriller",Fred Zinnemann,Nominated for 1 Oscar. Another 1 win & 10 nominations.,7.8,N/A,The Day of the Jackal (1973)
The Jazz Singer,1927,UNRATED,06 Oct 1927,88 min,"Drama, Music, Musical",Alan Crosland,Nominated for 1 Oscar. Another 2 wins.,6.8,N/A,The Jazz Singer (1927)
