Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
Dead of Winter,1987,R,06 Feb 1987,100 min,"Drama, Horror, Thriller",Arthur Penn,N/A,6.3,N/A,Dead of Winter (1987)
Death at a Funeral,2010,R,16 Apr 2010,92 min,Comedy,Neil LaBute,6 nominations.,5.7,"$16,000,000",Death at a Funeral (2010)
Death Race,2008,R,22 Aug 2008,105 min,"Action, Sci-Fi, Thriller",Paul W.S. Anderson,1 win & 5 nominations.,6.4,"$36,064,910",Death Race (2008)
Obama's Kickstarter Campaign to Solve the Debt,2011,N/A,15 Aug 2011,3 min,"Short, Comedy","Jack Allison, Matty Smith",N/A,N/A,N/A,Obama's Kickstarter Campaign to Solve the Debt (2011)
The Defiant Ones,1986,NOT RATED,05 Jan 1986,100 min,Drama,David Lowell Rich,N/A,6.1,N/A,The Defiant Ones (1986)
The Departed,2006,R,06 Oct 2006,151 min,"Crime, Drama, Thriller",Martin Scorsese,Won 4 Oscars. Another 92 wins & 134 nominations.,8.5,"$132,300,000",The Departed (2006)
Desire,1936,APPROVED,28 Feb 1936,95 min,"Comedy, Romance, Crime",Frank Borzage,N/A,7.3,N/A,Desire (1936)
Desperate Hours,1990,R,05 Oct 1990,105 min,"Action, Crime, Drama",Michael Cimino,1 nomination.,5.4,N/A,Desperate Hours (1990)
Destry Rides Again,1939,APPROVED,29 Dec 1939,94 min,"Comedy, Western",George Marshall,1 win.,7.7,N/A,Destry Rides Again (1939)
Destry,1954,APPROVED,01 Dec 1954,95 min,Western,George Marshall,N/A,6.6,N/A,Destry (1954)
Diabolique,1996,R,22 Mar 1996,107 min,"Drama, Horror, Thriller",Jeremiah S. Chechik,2 wins & 1 nomination.,5.3,N/A,Diabolique (1996)
Diamond Horseshoe,1945,N/A,01 May 1945,104 min,Musical,George Seaton,N/A,6.9,N/A,Diamond Horseshoe (1945)
Dirty Rotten Scoundrels,1988,PG,14 Dec 1988,110 min,"Comedy, Crime",Frank Oz,Nominated for 1 Golden Globe. Another 1 win.,7.3,N/A,Dirty Rotten Scoundrels (1988)
Dr. Jekyll and Mr. Hyde,1941,PASSED,01 Sep 1941,113 min,"Horror, Sci-Fi",Victor Fleming,N/A,6.9,N/A,Dr. Jekyll and Mr. Hyde (1941)
Billa,1980,N/A,N/A,N/A,"Action, Crime, Thriller",R. Krishnamurthy,N/A,7.4,N/A,Billa (1980)
Sobharaj,1986,N/A,N/A,N/A,N/A,Sasikumar,N/A,6.4,N/A,Sobharaj (1986)
Billa,2007,N/A,14 Dec 2007,130 min,"Action, Romance, Thriller",Vishnuvardhan,3 nominations.,7.3,N/A,Billa (2007)
Billa,2009,N/A,03 Apr 2009,149 min,"Action, Romance, Thriller",Meher Ramesh,N/A,6.1,N/A,Billa (2009)
A Dog of Flanders,1999,PG,27 Aug 1999,100 min,"Family, Drama",Kevin Brodie,1 win & 1 nomination.,6.3,N/A,A Dog of Flanders (1999)
Dorian Gray,2009,R,09 Sep 2009,112 min,"Drama, Fantasy, Thriller",Oliver Parker,1 nomination.,6.3,N/A,Dorian Gray (2009)
Down to Earth,2001,PG-13,26 Jul 2001,87 min,"Comedy, Fantasy","Chris Weitz, Paul Weitz",3 nominations.,5.4,"$63,095,559",Down to Earth (2001)
Down and Out in Beverly Hills,1986,R,31 Jan 1986,103 min,Comedy,Paul Mazursky,Nominated for 2 Golden Globes. Another 1 win & 3 nominations.,6.1,N/A,Down and Out in Beverly Hills (1986)
Heaven Can Wait,1978,PG,28 Jun 1978,101 min,"Comedy, Fantasy, Romance","Warren Beatty, Buck Henry",Won 1 Oscar. Another 8 wins & 13 nominations.,6.9,N/A,Heaven Can Wait (1978)
Down to Earth,2001,PG-13,26 Jul 2001,87 min,"Comedy, Fantasy","Chris Weitz, Paul Weitz",3 nominations.,5.4,"$63,095,559",Down to Earth (2001)
Dreaming Lips,1937,N/A,19 May 1937,94 min,Drama,Paul Czinner,N/A,6.2,N/A,Dreaming Lips (1937)
Dumbo,2019,N/A,29 Mar 2019,N/A,"Animation, Family, Fantasy",Tim Burton,N/A,N/A,N/A,Dumbo (2019)
The Echo,2008,R,28 May 2009,90 min,"Drama, Horror, Mystery",Yam Laranas,N/A,5.7,N/A,The Echo (2008)
Edtv,1999,PG-13,26 Mar 1999,122 min,"Comedy, Drama",Ron Howard,1 win & 1 nomination.,6.1,N/A,Edtv (1999)
Sri Mahalakshmi,2007,N/A,04 May 2007,N/A,N/A,Vijayan,N/A,5.0,N/A,Sri Mahalakshmi (2007)
Endless Love,2014,PG-13,14 Feb 2014,104 min,"Drama, Romance",Shana Feste,1 win.,6.3,N/A,Endless Love (2014)
Escapade,1935,N/A,06 Jul 1935,92 min,"Comedy, Romance",Robert Z. Leonard,N/A,7.2,N/A,Escapade (1935)
Evil Dead,2013,R,05 Apr 2013,91 min,"Fantasy, Horror",Fede Alvarez,6 wins & 18 nominations.,6.5,"$54,200,000",Evil Dead (2013)
The Eye,2008,PG-13,01 Feb 2008,98 min,"Horror, Mystery, Thriller","David Moreau, Xavier Palud",2 wins & 3 nominations.,5.4,"$31,400,000",The Eye (2008)
Excursion to the Moon,1908,N/A,01 Feb 1908,7 min,"Sci-Fi, Short",Segundo de Chomón,N/A,5.5,N/A,Excursion to the Moon (1908)
